id,book,text,predicted_author
Deu1_1,Deu," These [be] the words which Moses spake unto all Israel on this side Jordan in the wilderness, in the plain over against the Red [sea], between Paran, and Tophel, and Laban, and Hazeroth, and Dizahab.",0
Deu1_2,Deu, ([There are] eleven days' [journey] from Horeb by the way of mount Seir unto Kadeshbarnea.),0
Deu1_3,Deu," And it came to pass in the fortieth year, in the eleventh month, on the first [day] of the month, [that] Moses spake unto the children of Israel, according unto all that the LORD had given him in commandment unto them;",1
Deu1_4,Deu," After he had slain Sihon the king of the Amorites, which dwelt in Heshbon, and Og the king of Bashan, which dwelt at Astaroth in Edrei:",1
Deu1_5,Deu," On this side Jordan, in the land of Moab, began Moses to declare this law, saying,",0
Deu1_6,Deu," The LORD our God spake unto us in Horeb, saying, Ye have dwelt long enough in this mount:",1
Deu1_7,Deu," Turn you, and take your journey, and go to the mount of the Amorites, and unto all [the places] nigh thereunto, in the plain, in the hills, and in the vale, and in the south, and by the sea side, to the land of the Canaanites, and unto Lebanon, unto the great river, the river Euphrates.",0
Deu1_8,Deu," Behold, I have set the land before you: go in and possess the land which the LORD sware unto your fathers, Abraham, Isaac, and Jacob, to give unto them and to their seed after them.",0
Deu1_9,Deu," And I spake unto you at that time, saying, I am not able to bear you myself alone:",0
Deu1_10,Deu," The LORD your God hath multiplied you, and, behold, ye [are] this day as the stars of heaven for multitude.",0
Deu1_11,Deu," (The LORD God of your fathers make you a thousand times so many more as ye [are], and bless you, as he hath promised you!)",0
Deu1_12,Deu," How can I myself alone bear your cumbrance, and your burden, and your strife?",0
Deu1_13,Deu," Take you wise men, and understanding, and known among your tribes, and I will make them rulers over you.",0
Deu1_14,Deu," And ye answered me, and said, The thing which thou hast spoken [is] good [for us] to do.",0
Deu1_15,Deu," So I took the chief of your tribes, wise men, and known, and made them heads over you, captains over thousands, and captains over hundreds, and captains over fifties, and captains over tens, and officers among your tribes.",0
Deu1_16,Deu," And I charged your judges at that time, saying, Hear [the causes] between your brethren, and judge righteously between [every] man and his brother, and the stranger [that is] with him.",0
Deu1_17,Deu," Ye shall not respect persons in judgment; [but] ye shall hear the small as well as the great; ye shall not be afraid of the face of man; for the judgment [is] God's: and the cause that is too hard for you, bring [it] unto me, and I will hear it.",0
Deu1_18,Deu, And I commanded you at that time all the things which ye should do.,0
Deu1_19,Deu," And when we departed from Horeb, we went through all that great and terrible wilderness, which ye saw by the way of the mountain of the Amorites, as the LORD our God commanded us; and we came to Kadeshbarnea.",0
Deu1_20,Deu," And I said unto you, Ye are come unto the mountain of the Amorites, which the LORD our God doth give unto us.",0
Deu1_21,Deu," Behold, the LORD thy God hath set the land before thee: go up [and] possess [it], as the LORD God of thy fathers hath said unto thee; fear not, neither be discouraged.",0
Deu1_22,Deu," And ye came near unto me every one of you, and said, We will send men before us, and they shall search us out the land, and bring us word again by what way we must go up, and into what cities we shall come.",0
Deu1_23,Deu," And the saying pleased me well: and I took twelve men of you, one of a tribe:",1
Deu1_24,Deu," And they turned and went up into the mountain, and came unto the valley of Eshcol, and searched it out.",0
Deu1_25,Deu," And they took of the fruit of the land in their hands, and brought [it] down unto us, and brought us word again, and said, [It is] a good land which the LORD our God doth give us.",0
Deu1_26,Deu," Notwithstanding ye would not go up, but rebelled against the commandment of the LORD your God:",0
Deu1_27,Deu," And ye murmured in your tents, and said, Because the LORD hated us, he hath brought us forth out of the land of Egypt, to deliver us into the hand of the Amorites, to destroy us.",0
Deu1_28,Deu," Whither shall we go up? our brethren have discouraged our heart, saying, The people [is] greater and taller than we; the cities [are] great and walled up to heaven; and moreover we have seen the sons of the Anakims there.",0
Deu1_29,Deu," Then I said unto you, Dread not, neither be afraid of them.",0
Deu1_30,Deu," The LORD your God which goeth before you, he shall fight for you, according to all that he did for you in Egypt before your eyes;",1
Deu1_31,Deu," And in the wilderness, where thou hast seen how that the LORD thy God bare thee, as a man doth bear his son, in all the way that ye went, until ye came into this place.",0
Deu1_32,Deu," Yet in this thing ye did not believe the LORD your God,",0
Deu1_33,Deu," Who went in the way before you, to search you out a place to pitch your tents [in], in fire by night, to shew you by what way ye should go, and in a cloud by day.",0
Deu1_34,Deu," And the LORD heard the voice of your words, and was wroth, and sware, saying,",0
Deu1_35,Deu," Surely there shall not one of these men of this evil generation see that good land, which I sware to give unto your fathers,",0
Deu1_36,Deu," Save Caleb the son of Jephunneh; he shall see it, and to him will I give the land that he hath trodden upon, and to his children, because he hath wholly followed the LORD.",0
Deu1_37,Deu," Also the LORD was angry with me for your sakes, saying, Thou also shalt not go in thither.",0
Deu1_38,Deu," [But] Joshua the son of Nun, which standeth before thee, he shall go in thither: encourage him: for he shall cause Israel to inherit it.",0
Deu1_39,Deu," Moreover your little ones, which ye said should be a prey, and your children, which in that day had no knowledge between good and evil, they shall go in thither, and unto them will I give it, and they shall possess it.",0
Deu1_40,Deu," But [as for] you, turn you, and take your journey into the wilderness by the way of the Red sea.",0
Deu1_41,Deu," Then ye answered and said unto me, We have sinned against the LORD, we will go up and fight, according to all that the LORD our God commanded us. And when ye had girded on every man his weapons of war, ye were ready to go up into the hill.",0
Deu1_42,Deu," And the LORD said unto me, Say unto them, Go not up, neither fight; for I [am] not among you; lest ye be smitten before your enemies.",0
Deu1_43,Deu," So I spake unto you; and ye would not hear, but rebelled against the commandment of the LORD, and went presumptuously up into the hill.",0
Deu1_44,Deu," And the Amorites, which dwelt in that mountain, came out against you, and chased you, as bees do, and destroyed you in Seir, [even] unto Hormah.",0
Deu1_45,Deu," And ye returned and wept before the LORD; but the LORD would not hearken to your voice, nor give ear unto you.",0
Deu1_46,Deu," So ye abode in Kadesh many days, according unto the days that ye abode [there].",0
Deu2_1,Deu," Then we turned, and took our journey into the wilderness by the way of the Red sea, as the LORD spake unto me: and we compassed mount Seir many days.",0
Deu2_2,Deu," And the LORD spake unto me, saying,",0
Deu2_3,Deu, Ye have compassed this mountain long enough: turn you northward.,0
Deu2_4,Deu," And command thou the people, saying, Ye [are] to pass through the coast of your brethren the children of Esau, which dwell in Seir; and they shall be afraid of you: take ye good heed unto yourselves therefore:",1
Deu2_5,Deu," Meddle not with them; for I will not give you of their land, no, not so much as a foot breadth; because I have given mount Seir unto Esau [for] a possession.",0
Deu2_6,Deu," Ye shall buy meat of them for money, that ye may eat; and ye shall also buy water of them for money, that ye may drink.",0
Deu2_7,Deu, For the LORD thy God hath blessed thee in all the works of thy hand: he knoweth thy walking through this great wilderness: these forty years the LORD thy God [hath been] with thee; thou hast lacked nothing.,0
Deu2_8,Deu," And when we passed by from our brethren the children of Esau, which dwelt in Seir, through the way of the plain from Elath, and from Eziongaber, we turned and passed by the way of the wilderness of Moab.",0
Deu2_9,Deu," And the LORD said unto me, Distress not the Moabites, neither contend with them in battle: for I will not give thee of their land [for] a possession; because I have given Ar unto the children of Lot [for] a possession.",1
